province,city,city_code,station,station_code,lon,lat,pm2_5_24h,pubtime
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,127,2021/1/31 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,77,2020/11/1 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,36,2020/11/2 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,22,2020/11/3 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,51,2020/11/4 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,59,2020/11/5 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,69,2020/11/6 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,58,2020/11/7 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,19,2020/11/8 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,37,2020/11/9 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,66,2020/11/10 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,80,2020/11/11 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,68,2020/11/12 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,81,2020/11/13 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,98,2020/11/14 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,150,2020/11/15 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,123,2020/11/16 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,77,2020/11/17 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,14,2020/11/18 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,19,2020/11/19 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,27,2020/11/20 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,21,2020/11/21 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,20,2020/11/22 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,26,2020/11/23 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,63,2020/11/24 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,113,2020/11/25 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,36,2020/11/26 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,21,2020/11/27 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,22,2020/11/28 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,55,2020/11/29 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,43,2020/11/30 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,36,2020/12/1 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,84,2020/12/2 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,25,2020/12/3 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,89,2020/12/4 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,154,2020/12/5 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,144,2020/12/6 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,30,2020/12/7 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,41,2020/12/8 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,99,2020/12/9 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,157,2020/12/10 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,211,2020/12/11 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,182,2020/12/12 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,48,2020/12/13 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,24,2020/12/14 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,50,2020/12/15 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,39,2020/12/16 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,89,2020/12/17 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,58,2020/12/18 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,53,2020/12/19 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,74,2020/12/20 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,109,2020/12/21 0:00
